feature,Description
rvlr19__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with second highest balance  - month 17- 24
rvlr20__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with third highest balance   - month 1- 8
rvlr21__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with third highest balance   - month 9- 16
rvlr22__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with third highest balance   - month 17-24
rvlr23__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance    month 1 to 8
rvlr24__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance   - month 9 to16
rvlr25__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance   - month 17 to 24
rvlr26__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 1 to 8
rvlr27__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 9 to 16
rvlr28__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 17 to 24
rvlr29__tu,Bankcard balance for bankcard with highest balance
rvlr30__tu,Bankcard balance for bankcard with second highest balance
rvlr31__tu,Bankcard balance for bankcard with third highest balance
rvlr32__tu,Bankcard balance for bankcard with fourth highest balance
rvlr33__tu,Bankcard balance for bankcard with fifth highest balance
walshr01__tu,Number of bankcard wallet share shifts > 25% last month
walshr02__tu,Number of bankcard wallet share shifts > 25% last 3 months
walshr03__tu,Number of bankcard wallet share shifts > 25% last 12 months
walshr04__tu,Number of bankcard wallet share shifts > 50% last month
walshr05__tu,Number of bankcard wallet share shifts > 50% last 3 months
walshr06__tu,Number of bankcard wallet share shifts > 50% last 12 months
walshr07__tu,Max wallet share shift in last 3 months
walshr08__tu,Max wallet share shift in last 12 months
walshr09__tu,Months since most recent wallet share shift > 25% in last 24 months
walshr10__tu,Months since most recent wallet share shift > 50% in last 24 months
paymnt01__tu,Number of prepayments on installment loans last 3 months
paymnt02__tu,Number of prepayments on installment loans last 12 months
paymnt03__tu,Total amount of prepayments on installment loans last month
paymnt04__tu,Total amount of prepayments on installment loans last 3 months
paymnt05__tu,Total amount of prepayments on installment loans last 12 months
paymnt06__tu,Ratio of actual to minimum payment over last 6 months for installment trades
paymnt07__tu,Ratio of actual to minimum payment for non-mortgage trades last month
paymnt08__tu,Ratio of actual to minimum payment for revolving trades last month
paymnt09__tu,Ratio of actual to minimum payment for bankcard trades last month
paymnt10__tu,Number of payments in last 3 months
paymnt11__tu,Number of payments in last 12 months
cv01__tu,Months since most recent charge-off occurrence
cv02__tu,Months since most recent foreclosure occurrence
cv03__tu,Months since most recent repossession occurrence
cv04__tu,Months since most recent third party collection occurrence
cv05__tu,Months since most recent non-medical third party collection occurrence
cv06__tu,Number of mortgage trades with a loan modification
cv07__tu,Total balance of mortgage trades with a loan modification updated in past 12 months
cv08__tu,Total credit line of mortgage trades with a loan modification
cv09__tu,Number of mortgage trades that are 30 or more days past due since a loan modification
cv10__tu,Number of trades 30 or more days past due ever
cv11__tu,Number of trades 60 or more days past due ever
cv12__tu,Number of trades 90 or more days past due ever
cv13__tu,Percentage of trades ever delinquent
cv14__tu,Number of deduped inquiries
cv15__tu,Number of deduped auto inquiries
cv16__tu,Number of deduped mortgage inquiries
cv17__tu,"Number of trades prior 30 days past due, now current, verified in past 12 months"
cv18__tu,"Number of trades prior 60 days past due, now current, verified in past 12 months"
cv19__tu,Total balance of trades verified in past 3 months
cv20__tu,Total monthly obligation of trades verified in past 3 months
cv21__tu,Total payment amount of trades verified in past 3 months
cv22__tu,Total balance of credit card trades verified in past 3 months
cv23__tu,Total monthly obligation of bankcard trades verified in past 3 months
cv24__tu,Total payment amount of bankcard trades verified in past 3 months
cv25__tu,Percent of trades from inactive to active status in the past 12 months
cv26__tu,Percent of trades from active to inactive status in the past 12 months
cv27__tu,Percent of credit card trades from inactive to active status in the past 12 months
cv28__tu,Percent of credit card trades from active to inactive status in the past 12 months
cv29__tu,Number of trades in credit counseling over the past 12 months
cv30__tu,Months since most recent credit counseling
aggs101__tu,Aggregate Spend for Month M = 01
aggs102__tu,Aggregate Spend for Month M = 02
aggs103__tu,Aggregate Spend for Month M = 03
aggs104__tu,Aggregate Spend for Month M = 04
aggs105__tu,Aggregate Spend for Month M = 05
aggs106__tu,Aggregate Spend for Month M = 06
aggs107__tu,Aggregate Spend for Month M = 07
aggs108__tu,Aggregate Spend for Month M = 08
aggs109__tu,Aggregate Spend for Month M = 09
aggs110__tu,Aggregate Spend for Month M = 10
aggs111__tu,Aggregate Spend for Month M = 11
aggs112__tu,Aggregate Spend for Month M = 12
aggs113__tu,Aggregate Spend for Month M = 13
aggs114__tu,Aggregate Spend for Month M = 14
aggs115__tu,Aggregate Spend for Month M = 15
aggs116__tu,Aggregate Spend for Month M = 16
aggs117__tu,Aggregate Spend for Month M = 17
aggs118__tu,Aggregate Spend for Month M = 18
aggs119__tu,Aggregate Spend for Month M = 19
aggs120__tu,Aggregate Spend for Month M = 20
aggs121__tu,Aggregate Spend for Month M = 21
aggs122__tu,Aggregate Spend for Month M = 22
aggs123__tu,Aggregate Spend for Month M = 23
aggs124__tu,Aggregate Spend for Month M = 24
aggs901__tu,Aggregate Monthly Spend over last 3 Month
aggs902__tu,Aggregate Monthly Spend over last 6 Months
aggs903__tu,Aggregate Monthly Spend over last 12 Months
aggs904__tu,Max Aggregate Monthly Spend over last 12 Months
aggs905__tu,Months since max. monthly spend over last 12 months
index01__tu,Annual year-over-year spend index
index02__tu,Most recent quarter year-over-year spend index
indexq1__tu,Q1 (Jan - March) spend indexed to annual spend
indexq2__tu,Q2 (Apr - Jun) spend indexed to annual spend
indexq3__tu,Q3 (Jul - Sep) spend indexed to annual spend
indexq4__tu,Q4 (Oct - Dec) spend indexed to annual spend
walshrs1__tu,Spend on current dominant bankcard relative to total spend over the past month
walshrs2__tu,Spend on current dominant bankcard relative to total spend over the past year
aggs906__tu,Current credit limit of top-of-wallet bankcard (highest annual spend).
aggs907__tu,Annual Spend of top-of-wallet bankcard (highest annual spend).
aggs908__tu,Age of top-of-wallet bankcard (highest annual spend).
aggs909__tu,Current Balance of top-of-wallet bankcard (highest annual spend).
aggs910__tu,Current High Credit of top-of-wallet bankcard (highest annual spend)
aggs911__tu,Current Utilization of top-of-wallet bankcard (highest annual spend).
rets101__tu,Aggregate Retail Spend for Month M = 01
rets102__tu,Aggregate Retail Spend for Month M = 02
rets103__tu,Aggregate Retail Spend for Month M = 03
rets104__tu,Aggregate Retail Spend for Month M = 04
rets105__tu,Aggregate Retail Spend for Month M = 05
rets106__tu,Aggregate Retail Spend for Month M = 06
rets107__tu,Aggregate Retail Spend for Month M = 07
rets108__tu,Aggregate Retail Spend for Month M = 08
rets109__tu,Aggregate Retail Spend for Month M = 09
rets110__tu,Aggregate Retail Spend for Month M = 10
rets111__tu,Aggregate Retail Spend for Month M = 11
rets112__tu,Aggregate Retail Spend for Month M = 12
rets113__tu,Aggregate Retail Spend for Month M = 13
rets114__tu,Aggregate Retail Spend for Month M = 14
rets115__tu,Aggregate Retail Spend for Month M = 15
rets116__tu,Aggregate Retail Spend for Month M = 16
rets117__tu,Aggregate Retail Spend for Month M = 17
rets118__tu,Aggregate Retail Spend for Month M = 18
rets119__tu,Aggregate Retail Spend for Month M = 19
rets120__tu,Aggregate Retail Spend for Month M = 20
rets121__tu,Aggregate Retail Spend for Month M = 21
rets122__tu,Aggregate Retail Spend for Month M = 22
rets123__tu,Aggregate Retail Spend for Month M = 23
rets124__tu,Aggregate Retail Spend for Month M = 24
rets901__tu,Aggregate Retail Monthly Spend over last 3 Months
rets902__tu,Aggregate Retail Monthly Spend over last 6 Months
rets903__tu,Aggregate Retail Monthly Spend over last 12 Months
rets904__tu,Max Aggregate Retail Monthly Spend over last 12 Months
rets905__tu,Months since max. retail monthly spend over last 12 months
rtdex01__tu,Annual year-over-year retail spend index
rtdex02__tu,Most recent quarter year-over-year retail spend index
rtdexq1__tu,Q1 (Jan - March) retail spend indexed to annual retail spend
rtdexq2__tu,Q2 (Apr - Jun) retail spend indexed to retail annual spend
rtdexq3__tu,Q3 (Jul - Sep) retail spend indexed to retail annual spend
rtdexq4__tu,Q4 (Oct - Dec) retail spend indexed to retail annual spend
walsrts1__tu,Spend on current dominant retail trade relative to total spend over the past month
walsrts2__tu,Spend on current dominant retail trade relative to total spend over the past year
revs101__tu,Aggregate Revolving Spend for Month M = 01
revs102__tu,Aggregate Revolving Spend for Month M = 02
revs103__tu,Aggregate Revolving Spend for Month M = 03
revs104__tu,Aggregate Revolving Spend for Month M = 04
revs105__tu,Aggregate Revolving Spend for Month M = 05
revs106__tu,Aggregate Revolving Spend for Month M = 06
revs107__tu,Aggregate Revolving Spend for Month M = 07
revs108__tu,Aggregate Revolving Spend for Month M = 08
revs109__tu,Aggregate Revolving Spend for Month M = 09
revs110__tu,Aggregate Revolving Spend for Month M = 10
revs111__tu,Aggregate Revolving Spend for Month M = 11
revs112__tu,Aggregate Revolving Spend for Month M = 12
revs113__tu,Aggregate Revolving Spend for Month M = 13
revs114__tu,Aggregate Revolving Spend for Month M = 14
revs115__tu,Aggregate Revolving Spend for Month M = 15
revs116__tu,Aggregate Revolving Spend for Month M = 16
revs117__tu,Aggregate Revolving Spend for Month M = 17
revs118__tu,Aggregate Revolving Spend for Month M = 18
revs119__tu,Aggregate Revolving Spend for Month M = 19
revs120__tu,Aggregate Revolving Spend for Month M = 20
revs121__tu,Aggregate Revolving Spend for Month M = 21
revs122__tu,Aggregate Revolving Spend for Month M = 22
revs123__tu,Aggregate Revolving Spend for Month M = 23
revs124__tu,Aggregate Revolving Spend for Month M = 24
revs901__tu,Aggregate Revolving Monthly Spend over last 3 Months
revs902__tu,Aggregate Revolving Monthly Spend over last 6 Months
revs903__tu,Aggregate Revolving Monthly Spend over last 12 Months
revs904__tu,Max Aggregate Revolving Monthly Spend over last 12 Months
revs905__tu,Months since max. revolving monthly spend over last 12 months
rvdex01__tu,Annual year-over-year revolving spend index
rvdex02__tu,Most recent quarter year-over-year revolving spend index
rvdexq1__tu,Q1 (Jan - March) revolving spend indexed to annual revolving spend
rvdexq2__tu,Q2 (Apr - Jun) revolving spend indexed to revolving annual spend
rvdexq3__tu,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
rvdexq4__tu,Q4 (Oct - Dec) revolving spend indexed to revolving annual spend
walsrvs1__tu,Spend on current dominant revolving trade relative to total spend over the past month
walsrvs2__tu,Spend on current dominant revolving trade relative to total spend over the past year
cv_bc_behav_seg__tu,CreditVision Bankcard Behavior Segment
rvlr61__tu,Flag indicating that the consumer revolved at least one time on at least one of his top 5 bankcards in the past 6 months
rvlr62__tu,Flag indicating that the consumer revolved at least two times on at least one of his top 5 bankcards in the past 6 months
rvlr63__tu,Flag indicating that the consumer revolved at least three times on at least one of his top 5 bankcards in the past 6 months
rvlr64__tu,Flag indicating that the consumer revolved at least four times on at least one of his top 5 bankcards in the past 6 months
rvlr65__tu,Flag indicating that the consumer revolved at least five times on at least one of his top 5 bankcards in the past 6 months
rvlr66__tu,Flag indicating that the consumer revolved at least six times on at least one of his top 5 bankcards in the past 6 months
rvlr70__tu,Number of top five Bankcards that were revolver at least once in the past 3 months
rvlr71__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 3 months"
rvlr72__tu,Number of top five Bankcards that were revolver at least once in the past 6 months
rvlr73__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 6 months"
rvlr74__tu,Number of top five Bankcards that were revolver at least once in the past 12 months
rvlr75__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 12 months"
rvlr76__tu,Number of top five Bankcards that were revolver at least once in the past 24 months
rvlr77__tu,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 24 months"
rvlr78__tu,Revolver/Transactor tag for the top five Bankcards in the past 3 months
rvlr79__tu,Revolver/Transactor tag for the top five Bankcards in the past 6 months
rvlr80__tu,Revolver/Transactor tag for the top five Bankcards in the past 12 months
rvlr81__tu,Revolver/Transactor tag for the top five Bankcards in the past 24 months
rev315__tu,Number of months since Max Total Open-to-Buy for Revolving accounts
rev316__tu,Max Total Open-to-Buy for Revolving accounts over the past 3 months
rev317__tu,Max Total Open-to-Buy for Revolving accounts over the past 6 months
rev318__tu,Max Total Open-to-Buy for Revolving accounts over the past 12 months
rev319__tu,Max Total Open-to-Buy for Revolving accounts over the past 24 months
rev320__tu,Number of months since Min Total Open-to-Buy for Revolving accounts
rev321__tu,Min Total Open-to-Buy for Revolving accounts over the past 3 months
rev322__tu,Min Total Open-to-Buy for Revolving accounts over the past 6 months
rev323__tu,Min Total Open-to-Buy for Revolving accounts over the past 12 months
rev324__tu,Min Total Open-to-Buy for Revolving accounts over the past 24 months
rev325__tu,Average Total Open-to-Buy for Revolving accounts over the past 3 months
rev326__tu,Average Total Open-to-Buy for Revolving accounts over the past 6 months
rev327__tu,Average Total Open-to-Buy for Revolving accounts over the past 12 months
rev328__tu,Average Total Open-to-Buy for Revolving accounts over the past 24 months
bkc315__tu,Number of months since Max Total Open-to-Buy for Bankcard accounts
bkc316__tu,Max Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc317__tu,Max Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc318__tu,Max Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc319__tu,Max Total Open-to-Buy for Bankcard accounts over the past 24 months
bkc320__tu,Number of months since Min Total Open-to-Buy for Bankcard accounts
bkc321__tu,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc322__tu,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc323__tu,Min Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc324__tu,Min Total Open-to-Buy for Bankcard accounts over the past 24 months
bkc325__tu,Average Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc326__tu,Average Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc327__tu,Average Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc328__tu,Average Total Open-to-Buy for Bankcard accounts over the past 24 months
ret315__tu,Number of months since Max Total Open-to-Buy for Retail accounts
ret316__tu,Max Total Open-to-Buy for Retail accounts over the past 3 months
ret317__tu,Max Total Open-to-Buy for Retail accounts over the past 6 months
ret318__tu,Max Total Open-to-Buy for Retail accounts over the past 12 months
ret319__tu,Max Total Open-to-Buy for Retail accounts over the past 24 months
ret320__tu,Number of months since Min Total Open-to-Buy for Retail accounts
ret321__tu,Min Total Open-to-Buy for Retail accounts over the past 3 months
ret322__tu,Min Total Open-to-Buy for Retail accounts over the past 6 months
ret323__tu,Min Total Open-to-Buy for Retail accounts over the past 12 months
ret324__tu,Min Total Open-to-Buy for Retail accounts over the past 24 months
ret325__tu,Average Total Open-to-Buy for Retail accounts over the past 3 months
ret326__tu,Average Total Open-to-Buy for Retail accounts over the past 6 months
ret327__tu,Average Total Open-to-Buy for Retail accounts over the past 12 months
ret328__tu,Average Total Open-to-Buy for Retail accounts over the past 24 months
rev11__tu,Number of instances where a Revolving trade was utilized more than 25% in the past 12 months
rev12__tu,Number of instances where a Revolving trade was utilized more than 50% in the past 12 months
rev13__tu,Number of instances where a Revolving trade was utilized more than 75% in the past 12 months
rev14__tu,Number of instances where a Revolving trade was utilized more than 90% in the past 12 months
rev51__tu,Number of Revolving trades utilized more than 25% in the past 12 months
rev52__tu,Number of Revolving trades utilized more than 50% in the past 12 months
rev53__tu,Number of Revolving trades utilized more than 75% in the past 12 months
rev54__tu,Number of Revolving trades utilized more than 90% in the past 12 months
rev81__tu,Months since a Revolving trade last exceeded 25% utilization
rev82__tu,Months since a Revolving trade last exceeded 50% utilization
rev83__tu,Months since a Revolving trade last exceeded 75% utilization
rev84__tu,Months since a Revolving trade last exceeded 90% utilization
rev92__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 25% was more than 25%
rev102__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 50% was more than 25%
rev112__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 75% was more than 25%
rev122__tu,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%
rev132__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 25% was more than 90%
rev142__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 50% was more than 90%
rev152__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 75% was more than 90%
rev162__tu,Number of months in the past 12 months where percentage of Revolving trades utilized more than 100% was more than 90%
bkc11__tu,Number of instances where a Bankcard trade was utilized more than 25% in the past 12 months
bkc12__tu,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months
bkc13__tu,Number of instances where a Bankcard trade was utilized more than 75% in the past 12 months
bkc14__tu,Number of instances where a Bankcard trade was utilized more than 90% in the past 12 months
bkc51__tu,Number of Bankcard trades utilized more than 25% in the past 12 months
bkc52__tu,Number of Bankcard trades utilized more than 50% in the past 12 months
bkc53__tu,Number of Bankcard trades utilized more than 75% in the past 12 months
bkc54__tu,Number of Bankcard trades utilized more than 90% in the past 12 months
bkc81__tu,Months since a Bankcard trade last exceeded 25% utilization
bkc82__tu,Months since a Bankcard trade last exceeded 50% utilization
bkc83__tu,Months since a Bankcard trade last exceeded 75% utilization
bkc84__tu,Months since a Bankcard trade last exceeded 90% utilization
bkc92__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 25% was more than 25%
bkc102__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 50% was more than 25%
bkc112__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 75% was more than 25%
bkc122__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
bkc132__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 25% was more than 90%
bkc142__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 50% was more than 90%
bkc152__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 75% was more than 90%
bkc162__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 100% was more than 90%
ret11__tu,Number of instances where a Retail trade was utilized more than 25% in the past 12 months
ret12__tu,Number of instances where a Retail trade was utilized more than 50% in the past 12 months
ret13__tu,Number of instances where a Retail trade was utilized more than 75% in the past 12 months
ret14__tu,Number of instances where a Retail trade was utilized more than 90% in the past 12 months
ret51__tu,Number of Retail trades utilized more than 25% in the past 12 months
ret52__tu,Number of Retail trades utilized more than 50% in the past 12 months
ret53__tu,Number of Retail trades utilized more than 75% in the past 12 months
ret54__tu,Number of Retail trades utilized more than 90% in the past 12 months
ret81__tu,Months since a Retail trade last exceeded 25% utilization
ret82__tu,Months since a Retail trade last exceeded 50% utilization
ret83__tu,Months since a Retail trade last exceeded 75% utilization
ret84__tu,Months since a Retail trade last exceeded 90% utilization
ret92__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 25% was more than 25%
ret102__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 50% was more than 25%
ret112__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 75% was more than 25%
ret122__tu,Number of months in the past 12 months where percentage of Retail trades utilized less than 100% was more than 25%
ret132__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 25% was more than 90%
ret142__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 50% was more than 90%
ret152__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 75% was more than 90%
ret162__tu,Number of months in the past 12 months where percentage of Retail trades utilized more than 100% was more than 90%
rev201__tu,Total Payment Ratio for Revolving accounts over the past 1 month
rev202__tu,Total Payment Ratio for Revolving accounts over the past 3 months
rev203__tu,Total Payment Ratio for Revolving accounts over the past 6 months
rev204__tu,Total Payment Ratio for Revolving accounts over the past 12 months
rev205__tu,Total Payment Ratio for Revolving accounts over the past 24 months
rev222__tu,Average total Payment Ratio for Revolving accounts over the past 3 months
rev223__tu,Average total Payment Ratio for Revolving accounts over the past 6 months
rev224__tu,Average total Payment Ratio for Revolving accounts over the past 12 months
rev225__tu,Average total Payment Ratio for Revolving accounts over the past 24 months
ret201__tu,Total Payment Ratio for Retail accounts over the past 1 month
ret202__tu,Total Payment Ratio for Retail accounts over the past 3 months
ret203__tu,Total Payment Ratio for Retail accounts over the past 6 months
ret204__tu,Total Payment Ratio for Retail accounts over the past 12 months
ret205__tu,Total Payment Ratio for Retail accounts over the past 24 months
ret222__tu,Average total Payment Ratio for Retail accounts over the past 3 months
ret223__tu,Average total Payment Ratio for Retail accounts over the past 6 months
ret224__tu,Average total Payment Ratio for Retail accounts over the past 12 months
ret225__tu,Average total Payment Ratio for Retail accounts over the past 24 months
aut201__tu,Total Payment Ratio for Auto accounts over the past 1 month
aut202__tu,Total Payment Ratio for Auto accounts over the past 3 months
aut203__tu,Total Payment Ratio for Auto accounts over the past 6 months
aut204__tu,Total Payment Ratio for Auto accounts over the past 12 months
aut205__tu,Total Payment Ratio for Auto accounts over the past 24 months
aut222__tu,Average total Payment Ratio for Auto accounts over the past 3 months
aut223__tu,Average total Payment Ratio for Auto accounts over the past 6 months
aut224__tu,Average total Payment Ratio for Auto accounts over the past 12 months
aut225__tu,Average total Payment Ratio for Auto accounts over the past 24 months
std201__tu,Total Payment Ratio for Student Loan accounts over the past 1 month
std202__tu,Total Payment Ratio for Student Loan accounts over the past 3 months
std203__tu,Total Payment Ratio for Student Loan accounts over the past 6 months
std204__tu,Total Payment Ratio for Student Loan accounts over the past 12 months
std205__tu,Total Payment Ratio for Student Loan accounts over the past 24 months
std222__tu,Average total Payment Ratio for Student Loan accounts over the past 3 months
std223__tu,Average total Payment Ratio for Student Loan accounts over the past 6 months
std224__tu,Average total Payment Ratio for Student Loan accounts over the past 12 months
std225__tu,Average total Payment Ratio for Student Loan accounts over the past 24 months
per201__tu,Total Payment Ratio for Personal Loan accounts over the past 1 month
per202__tu,Total Payment Ratio for Personal Loan accounts over the past 3 months
per203__tu,Total Payment Ratio for Personal Loan accounts over the past 6 months
per204__tu,Total Payment Ratio for Personal Loan accounts over the past 12 months
per205__tu,Total Payment Ratio for Personal Loan accounts over the past 24 months
per222__tu,Average total Payment Ratio for Personal Loan accounts over the past 3 months
per223__tu,Average total Payment Ratio for Personal Loan accounts over the past 6 months
per224__tu,Average total Payment Ratio for Personal Loan accounts over the past 12 months
per225__tu,Average total Payment Ratio for Personal Loan accounts over the past 24 months
rev231__tu,Aggregate Excess Payment for Revolving accounts over the past 1 month
rev232__tu,Aggregate Excess Payment for Revolving accounts over the past 3 months
rev233__tu,Aggregate Excess Payment for Revolving accounts over the past 6 months
rev234__tu,Aggregate Excess Payment for Revolving accounts over the past 12 months
rev235__tu,Aggregate Excess Payment for Revolving accounts over the past 24 months
rev252__tu,Average Aggregate Excess Payment for Revolving accounts over the past 3 months
rev253__tu,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
rev254__tu,Average Aggregate Excess Payment for Revolving accounts over the past 12 months
rev255__tu,Average Aggregate Excess Payment for Revolving accounts over the past 24 months
ret231__tu,Aggregate Excess Payment for Retail accounts over the past 1 month
ret232__tu,Aggregate Excess Payment for Retail accounts over the past 3 months
ret233__tu,Aggregate Excess Payment for Retail accounts over the past 6 months
ret234__tu,Aggregate Excess Payment for Retail accounts over the past 12 months
ret235__tu,Aggregate Excess Payment for Retail accounts over the past 24 months
ret252__tu,Average Aggregate Excess Payment for Retail accounts over the past 3 months
ret253__tu,Average Aggregate Excess Payment for Retail accounts over the past 6 months
ret254__tu,Average Aggregate Excess Payment for Retail accounts over the past 12 months
ret255__tu,Average Aggregate Excess Payment for Retail accounts over the past 24 months
aut231__tu,Aggregate Excess Payment for Auto accounts over the past 1 month
aut232__tu,Aggregate Excess Payment for Auto accounts over the past 3 months
aut233__tu,Aggregate Excess Payment for Auto accounts over the past 6 months
aut234__tu,Aggregate Excess Payment for Auto accounts over the past 12 months
aut235__tu,Aggregate Excess Payment for Auto accounts over the past 24 months
aut252__tu,Average Aggregate Excess Payment for Auto accounts over the past 3 months
aut253__tu,Average Aggregate Excess Payment for Auto accounts over the past 6 months
aut254__tu,Average Aggregate Excess Payment for Auto accounts over the past 12 months
aut255__tu,Average Aggregate Excess Payment for Auto accounts over the past 24 months
std231__tu,Aggregate Excess Payment for Student Loan accounts over the past 1 month
std232__tu,Aggregate Excess Payment for Student Loan accounts over the past 3 months
std233__tu,Aggregate Excess Payment for Student Loan accounts over the past 6 months
std234__tu,Aggregate Excess Payment for Student Loan accounts over the past 12 months
std235__tu,Aggregate Excess Payment for Student Loan accounts over the past 24 months
std252__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 3 months
std253__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months
std254__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 12 months
std255__tu,Average Aggregate Excess Payment for Student Loan accounts over the past 24 months
per231__tu,Aggregate Excess Payment for Personal Loan accounts over the past 1 month
per232__tu,Aggregate Excess Payment for Personal Loan accounts over the past 3 months
per233__tu,Aggregate Excess Payment for Personal Loan accounts over the past 6 months
per234__tu,Aggregate Excess Payment for Personal Loan accounts over the past 12 months
per235__tu,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
per252__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 3 months
per253__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 6 months
per254__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 12 months
per255__tu,Average Aggregate Excess Payment for Personal Loan accounts over the past 24 months
all231__tu,Aggregate Excess Payment for All accounts over the past 1 month
all232__tu,Aggregate Excess Payment for All accounts over the past 3 months
all233__tu,Aggregate Excess Payment for All accounts over the past 6 months
all234__tu,Aggregate Excess Payment for All accounts over the past 12 months
all235__tu,Aggregate Excess Payment for All accounts over the past 24 months
all252__tu,Average Aggregate Excess Payment for All accounts over the past 3 months
all253__tu,Average Aggregate Excess Payment for All accounts over the past 6 months
all254__tu,Average Aggregate Excess Payment for All accounts over the past 12 months
all255__tu,Average Aggregate Excess Payment for All accounts over the past 24 months
rle901__tu,Number of over-payments on Real-Estate accounts in the past 6 months
rle902__tu,Number of over-payments on Real-Estate accounts in the past 12 months
rle903__tu,Number of over-payments on Real-Estate accounts in the past 24 months
rle904__tu,Amount of over-payments on Real-Estate accounts in the past 6 months
rle905__tu,Amount of over-payments on Real-Estate accounts in the past 12 months
rle906__tu,Amount of over-payments on Real-Estate accounts in the past 24 months
rle907__tu,Months since most recent over-payment on a Real-Estate account
uniqueid__tu,UniqueID
bigaccountid__tu,bigAccountId
bigdebtorid__tu,bigDebtorId
bitdebtor__tu,bitDebtor
city__tu,city
state__tu,state
zip5__tu,zip5
observationdate__tu,observationDate
dtmapproved__tu,dtmApproved
dtmdeclined__tu,dtmDeclined
dtmfunded__tu,dtmFunded
archive__tu,Archive
tu_creditbureaudate__tu,TU CreditBureauDate
analyticsmatchkey__tu,MatchKey
linka004__tu,Number of bank account closures identified as fraudulent
linka002__tu,"Number of credit issuance inquiries in the last year (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka023__tu,"Number of credit issuance inquiries in the last 3 years (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka024__tu,"Number of days since oldest credit issuance inquiry (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
linka048__tu,Number of checking account inquiries in the last month
linka049__tu,Number of checking account inquiries in the last 2 months
linka001__tu,Number of checking account inquiries in the last 3 months
linka050__tu,Number of checking account inquiries in the last 6 months
linka051__tu,Number of checking account inquiries in the last year
linka052__tu,Number of checking account inquiries in the last 2 years
linka029__tu,Number of checking account inquiries in the last 3 years
linka030__tu,Number of days since most recent checking account inquiry
linka053__tu,Number of days since the first (oldest) checking account inquiry
linka022__tu,Number of auto inquiries in the last 3 years
